State,City,PD,Black People Killed by Police (1/1/2013-12/31/2019),Hispanic People Killed by Police (1/1/2013-12/31/2019),Native American People Killed by Police (1/1/2013-12/31/2019),Asian People Killed by Police (1/1/2013-12/31/2019),Pacific Islanders Killed by Police (1/1/2013-12/31/2019),White People Killed by Police (1/1/2013-12/31/2019),Unknown Race People Killed by Police (1/1/2013-12/31/2019),Total,Black,White,Amer. Indian,Asian,Hawaiian,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
nonnegligent manslaughter",Violent crimes 2013 (if reported by agency),Violent crimes 2014 (if reported by agency),Violent crimes 2015 (if reported by agency),Violent crimes 2016 (if reported by agency),Violent crimes 2017 (if reported by agency),Violent crimes 2018 (if reported by agency),2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests
Texas,Lubbock,Lubbock Police Department,,3,,,,,,"229,573","18,744","127,915",845,"5,471",147,241,"2,585","73,625",47.23,7,1829,2084,2391,2741,,2565,8861,7695,8092,7679,7129,7496
Wisconsin,Madison,Madison Police Department,3,,,,,5,,"233,209","16,507","176,463",763,"17,126",67,374,"5,961","15,948",36.64,140,884,846,890,832,958,1043,9265,9363,9382,8324,7925,8016
Tennessee,Memphis,Memphis Police Department,15,1,,,,4,4,"646,889","408,075","177,735","1,186","10,067",159,742,"6,931","41,994",67.86,13,10894,11399,11449,11947,13077,12674,47866,39655,34280,31793,30103,31342
Arizona,Mesa,Mesa Police Department,,7,2,,,14,2,"439,041","14,101","282,505","8,359","8,174","1,532",555,"8,062","115,753",29.54,81,1807,2119,1972,2051,2047,1837,24509,24120,25723,22995,24344,20800
Tennessee,Nashville,Metropolitan Nashville Police Department,6,2,,,,3,,"601,222","169,272","338,782","1,418","18,497",275,"1,155","11,433","60,390",49.16,90,6612,7270,7245,7371,7682,7641,51672,47378,45841,42771,40511,35949
Florida,Miami,Miami Police Department,3,6,,,,,2,"399,457","64,993","47,622",361,"3,649",58,676,"2,642","279,456",75.53,31,4945,4473,4473,3989,3338,2978,31210,29208,25618,24100,19213,20902
Wisconsin,Milwaukee,Milwaukee Police Department,13,1,,,,2,,"594,833","233,325","220,219","3,408","20,553",195,819,"13,307","103,007",70.11,41,8194,8864,9583,9201,9507,8416,41870,32550,27082,24185,24024,19057
Minneapolis,Minneapolis,Minneapolis Police Department,4,1,,1,,1,1,"382,578","69,971","230,650","6,351","21,399",168,962,"13,004","40,073",50.92,150,4038,4093,4395,4622,4614,3395,20797,17358,15019,11879,11955,11652
Louisiana,New Orleans,New Orleans Police Department,10,,,,,2,,"343,829","204,866","104,770",827,"9,883",105,967,"4,360","18,051",67.63,333,2965,3770,3736,4249,4457,4611,,,17017,20589,25089,23674
New York,New York,New York Police Department,48,10,,,,9,8,"8,175,133","1,861,295","2,722,904","17,427","1,028,119","2,795","57,841","148,676","2,336,076",81.41,93,52384,50564,50088,49124,46433,46113,393809,387727,339470,314864,286225,246773
