,State,City,PD,Black People,Hispanic People,Native American People,Asian People,Pacific Islanders,White People,Unknown Race People,Total,Black,White,Amer. Indian,Asian,Hawaiian,Other,"Two or
more races",Hispanic,Black-White Dissimilarity Index (2010),"Murder and
nonnegligent manslaughter",Violent crimes 2013,Violent crimes 2014,Violent crimes 2015,Violent crimes 2016,Violent crimes 2017,Violent crimes 2018,2013 Total Arrests (UCR Data),2014 Total Arrests,2015 Total Arrests,2016 Total Arrests,2017 Total Arrests,2018 Total Arrests
57,Tennessee,Nashville,Metropolitan Nashville Police Department,6,2,0,0,0,3,0,601222,169272,338782,1418,18497,275,1155,11433,60390,49,90,6612,7270,7245,7371,7682,7641,51672,47378,45841,42771,40511,35949
58,Florida,Miami,Miami Police Department,3,6,0,0,0,0,2,399457,64993,47622,361,3649,58,676,2642,279456,76,31,4945,4473,4473,3989,3338,2978,31210,29208,25618,24100,19213,20902
59,Wisconsin,Milwaukee,Milwaukee Police Department,13,1,0,0,0,2,0,594833,233325,220219,3408,20553,195,819,13307,103007,70,41,8194,8864,9583,9201,9507,8416,41870,32550,27082,24185,24024,19057
60,Minneapolis,Minneapolis,Minneapolis Police Department,4,1,0,1,0,1,1,382578,69971,230650,6351,21399,168,962,13004,40073,51,150,4038,4093,4395,4622,4614,3395,20797,17358,15019,11879,11955,11652
61,Louisiana,New Orleans,New Orleans Police Department,10,0,0,0,0,2,0,343829,204866,104770,827,9883,105,967,4360,18051,68,333,2965,3770,3736,4249,4457,4611,0,0,17017,20589,25089,23674
62,New York,New York,New York Police Department,48,10,0,0,0,9,8,8175133,1861295,2722904,17427,1028119,2795,57841,148676,2336076,81,93,52384,50564,50088,49124,46433,46113,393809,387727,339470,314864,286225,246773
63,New Jersey,Newark,Newark Police Department,7,1,0,0,0,2,1,277140,138074,32122,713,4318,68,3899,4200,93746,71,31,3516,3008,0,2637,2543,2069,13648,10192,0,8490,7624,7453
64,Virginia,Norfolk,Norfolk Police Department,7,0,0,0,0,4,0,242803,102452,107463,935,7861,359,471,7118,16144,51,12,1418,1280,1329,1616,1363,1134,17611,15834,12700,11870,12692,13469
65,Nevada,North Las Vegas,North Las Vegas Police Department,2,3,0,0,0,2,0,216961,41561,67687,871,13122,1684,377,7525,84134,27,80,1806,1782,2130,2276,2461,2386,0,6922,5922,5935,5750,7056
66,California,Oakland,Oakland Police Department,7,0,0,0,0,1,1,390724,106637,101308,1214,65127,2081,1213,14076,99068,52,45,7984,6910,6051,6059,5521,5480,7562,9781,10850,11083,10518,8971
67,Oklahoma,Oklahoma City,Oklahoma City Police Department,24,7,3,0,0,14,0,579999,85744,328582,18208,23051,464,700,23212,100038,47,32,4998,4782,4828,5027,5104,5663,19330,19515,19660,18574,17246,15795
68,Nebraska,Omaha,Omaha Police Department,6,1,1,0,0,7,0,408958,55128,278172,2263,9889,253,806,8894,53553,58,15,2449,2458,2329,2531,2909,2628,19407,20400,0,18677,0,19072
69,Florida,Orlando,Orlando Police Department,9,5,0,1,0,3,0,238300,63584,98533,483,8756,130,1688,4643,60483,61,248,2316,2340,2525,2328,2113,2282,11427,11408,10650,9344,9059,8727
70,Pennsylvania,Philadelphia,Philadelphia Police Department,21,0,0,0,0,2,10,1526006,644287,562585,3498,95521,457,4105,27942,187611,73,114,17074,15925,16132,15534,14930,14420,86253,82799,69324,53807,52689,46301
71,Arizona,Phoenix,Phoenix Police Department,15,39,4,0,0,40,13,1445632,86788,672573,23327,43894,2055,2242,24876,589877,50,69,9492,8749,9261,10700,12511,12110,70691,59811,0,44335,49958,52449
72,Pennsylvania,Pittsburgh,Pittsburgh Police Department,6,0,0,0,0,1,0,305704,78847,198186,505,13393,76,843,6890,6964,57,4,2259,2455,2167,2366,2008,1751,17868,15406,12911,11897,13534,11699
73,Texas,Plano,Plano Police Department,0,1,0,0,0,1,0,259841,19199,151629,831,43659,121,449,5779,38174,26,26,389,459,433,399,435,402,8832,3432,9163,8885,9335,7657
74,Oregon,Portland,Portland Police Bureau,4,1,0,0,0,13,0,583776,35462,421773,4381,41335,2978,1299,21708,54840,39,12,2941,2911,680,3163,3349,3418,0,20160,0,20322,19107,20501
75,North Carolina,Raleigh,Raleigh Police Department,2,1,0,0,0,1,0,403892,115976,215204,1019,17309,139,828,7549,45868,50,15,1683,0,0,0,0,0,27458,0,0,0,0,0
76,Nevada,Reno,Reno Police Department,3,5,0,0,0,4,2,225221,5990,140752,2066,13913,1505,441,5914,54640,32,12,1154,1147,1419,1717,1674,1636,12196,12309,11869,12044,12837,14422
77,California,Riverside,Riverside Police Department,3,5,0,0,0,0,0,303871,19917,103398,1297,21934,1019,617,6736,148953,25,27,1330,1384,1441,1724,1669,1686,8117,11796,8500,9122,7573,7443
78,New York,Rochester,Rochester Police Department,2,0,0,1,0,1,0,210565,83346,79178,666,6350,77,392,6100,34456,52,28,2107,1765,1839,1845,1872,1615,0,0,0,0,0,0
79,California,Sacramento,Sacramento Police Department,5,2,0,0,0,5,1,466488,64967,161062,2586,83841,6392,1253,21111,125276,41,103,3137,2968,3611,3549,3378,3329,18467,19824,18132,16282,13810,14054
80,Texas,San Antonio,San Antonio Police Department,8,25,0,1,0,9,4,1327407,83365,353106,2771,30596,1097,2105,15415,838952,43,43,8828,7704,8594,10754,10759,9647,58324,57490,50826,42077,52253,61234
81,California,San Bernardino,San Bernardino Police Department,0,5,0,1,0,3,1,209924,29897,39977,867,8027,704,361,4097,125994,33,32,1949,2128,2697,2878,2805,2906,6996,7993,6337,6714,8120,9195
82,California,San Diego,San Diego Police Department,2,9,0,4,1,12,2,1307402,82497,589702,3545,204347,5178,3293,42820,376020,55,45,5303,5214,5582,5332,5221,5360,41444,40118,36587,35761,35725,33674
83,California,San Francisco,San Francisco Police Department,5,7,0,1,0,5,0,805235,46781,337451,1828,265700,3128,2494,26079,121774,53,32,7064,6761,6710,6190,6301,6144,17451,14699,16604,15271,13950,13891
84,California,San Jose,San Jose Police Department,1,10,0,1,1,6,3,945942,27508,271382,2255,300022,3492,1820,25827,313636,37,18,3215,3242,3400,3887,4188,4444,17994,17729,16232,13034,13977,15392
85,California,Santa Ana,Santa Ana Police Department,1,10,0,1,0,1,3,324528,3177,29950,507,33618,826,375,2147,253928,24,4,1121,1260,1626,1612,1640,1571,8715,8641,8101,7349,7397,6609
86,Arizona,Scottsdale,Scottsdale Police Department,1,1,0,0,0,4,2,217385,3484,182011,1462,7128,189,276,3610,19225,23,26,337,0,434,369,396,422,10468,9673,8910,9066,9619,9296
87,Washington,Seattle,Seattle Police Department,4,2,1,2,1,10,3,608660,47113,403578,3881,83537,2246,1464,26512,40329,52,10,3758,4001,4093,4294,4564,5052,15100,13207,14230,14569,14543,15182
88,Washington,Spokane,Spokane Police Department,1,0,2,0,0,11,1,208916,4643,175482,3663,5266,1152,281,7962,10467,22,159,1440,1156,1111,0,1360,1742,10654,18510,23794,0,4951,5865
89,Missouri,St. Louis,St. Louis Metropolitan Police Department,36,0,0,0,0,3,1,319294,156389,134702,684,9233,62,478,6616,11130,65,11,5077,5348,5762,6017,6461,5525,23094,19261,20493,20163,18729,16993
90,Minnesota,St. Paul,St. Paul Police Department,5,1,2,2,0,3,0,285068,43620,159437,2316,42494,120,494,9276,27311,43,19,2200,1974,2115,1970,1996,1941,11758,9820,9659,9024,9557,8632
91,Florida,St. Petersburg,St. Petersburg Police Department,2,0,0,0,0,8,0,244769,57489,157409,567,7672,106,539,4773,16214,66,49,2379,2169,1898,1727,1842,1660,13997,13654,13491,10907,10149,9753
92,California,Stockton,Stockton Police Department,4,6,0,2,1,3,2,291707,33507,66836,1237,60323,1622,470,10122,117590,37,28,3622,3988,4122,4381,4379,4383,8008,7681,6261,6154,7435,7327
93,Florida,Tampa,Tampa Police Department,4,0,0,2,0,3,0,335709,83032,155552,755,11362,207,794,6535,77472,59,24,2097,2080,2298,1906,1785,1598,41318,38102,30983,25676,22660,20310
94,Ohio,Toledo,Toledo Police Department,3,0,0,0,0,4,0,287208,76820,176468,755,3204,64,522,8144,21231,53,47,2902,3068,3156,3319,0,2333,0,0,0,0,7426,8467
95,Arizona,Tucson,Tucson Police Department,2,10,0,0,0,10,6,520116,23362,245323,8776,14211,951,792,10393,216308,26,46,3368,0,3472,4245,4268,3958,31892,32313,32294,33442,30569,28858
96,Oklahoma,Tulsa,Tulsa Police Department,7,4,0,1,0,14,1,391906,61230,227021,19473,8926,278,473,19239,55266,50,17,3827,3217,3628,4444,4214,4294,16360,14739,15769,14311,12666,13303
97,Virginia,Virginia Beach,Virginia Beach Police Department,3,0,0,0,0,2,1,437994,83210,282470,1349,26312,602,863,14201,28987,36,105,730,660,626,700,625,528,24359,23247,20259,19190,18668,17071
98,Kansas,Wichita,Wichita Police Department,1,2,0,0,0,10,0,382368,42676,246744,3424,18272,311,472,12121,58348,49,15,3065,0,3839,4136,3998,4622,10566,9323,9307,9120,8322,3931
99,North Carolina,Winston-Salem,Winston-Salem Police Department,3,0,0,0,0,0,0,229617,78065,108222,567,4536,138,535,3801,33753,50,13,1426,1696,0,0,0,0,19742,18875,16146,15432,0,12786
